2001:3e0::,2001:3e0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:3e8::,2001:3e8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:400::,2001:400:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:408::,2001:408:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:410::,2001:410:ffff:ffff:ffff:ffff:ffff:ffff,CA
2001:418::,2001:418:1439::29f,US
2001:418:1439::2a0,2001:418:1439::2a0,CA
2001:418:1439::2a1,2001:418:149a:ffff:ffff:ffff:ffff:ffff,US
2001:418:149b::,2001:418:149b:ffff:ffff:ffff:ffff:ffff,HK
2001:418:149c::,2001:418:149c:ffff:ffff:ffff:ffff:ffff,SG
2001:418:149d::,2001:418:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:420::,2001:420:3fff:ffff:ffff:ffff:ffff:ffff,US
2001:420:4000::,2001:420:447f:ffff:ffff:ffff:ffff:ffff,JP
2001:420:4480::,2001:420:4487:ffff:ffff:ffff:ffff:ffff,IL
2001:420:4488::,2001:420:4fff:ffff:ffff:ffff:ffff:ffff,JP
2001:420:5000::,2001:420:51ff:ffff:ffff:ffff:ffff:ffff,AU
2001:420:5200::,2001:420:5bff:ffff:ffff:ffff:ffff:ffff,JP
2001:420:5c00::,2001:420:5dff:ffff:ffff:ffff:ffff:ffff,SG
2001:420:5e00::,2001:420:7fff:ffff:ffff:ffff:ffff:ffff,JP
2001:420:8000::,2001:420:c0bf:ffff:ffff:ffff:ffff:ffff,US
2001:420:c0c0::,2001:420:c0c3:ffff:ffff:ffff:ffff:ffff,NL
2001:420:c0c4::,2001:420:c0cf:ffff:ffff:ffff:ffff:ffff,US
2001:420:c0d0::,2001:420:c0d3:ffff:ffff:ffff:ffff:ffff,AU
2001:420:c0d4::,2001:420:c0d7:ffff:ffff:ffff:ffff:ffff,SG
2001:420:c0d8::,2001:420:c0df:ffff:ffff:ffff:ffff:ffff,JP
2001:420:c0e0::,2001:420:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:428::,2001:428:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:430::,2001:430:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:438::,2001:438:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:440::,2001:440:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:450::,2001:450:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:458::,2001:458:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:460::,2001:460:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:468::,2001:468:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:470::,2001:470:308:ffff:ffff:ffff:ffff:ffff,US
2001:470:309::,2001:470:309:ffff:ffff:ffff:ffff:ffff,JP
2001:470:30a::,2001:470:19c5:ffff:ffff:ffff:ffff:ffff,US
2001:470:19c6::,2001:470:19c6:ffff:ffff:ffff:ffff:ffff,GB
2001:470:19c7::,2001:470:2005:ffff:ffff:ffff:ffff:ffff,US
2001:470:2006::,2001:470:2006:ffff:ffff:ffff:ffff:ffff,UA
2001:470:2007::,2001:470:2034:ffff:ffff:ffff:ffff:ffff,US
2001:470:2035::,2001:470:2035:ffff:ffff:ffff:ffff:ffff,HU
2001:470:2036::,2001:470:205e:ffff:ffff:ffff:ffff:ffff,US
2001:470:205f::,2001:470:205f:ffff:ffff:ffff:ffff:ffff,CZ
2001:470:2060::,2001:470:2086:ffff:ffff:ffff:ffff:ffff,US
2001:470:2087::,2001:470:2087:ffff:ffff:ffff:ffff:ffff,HU
2001:470:2088::,2001:470:209e:ffff:ffff:ffff:ffff:ffff,US
2001:470:209f::,2001:470:209f:ffff:ffff:ffff:ffff:ffff,HU
2001:470:20a0::,2001:470:20ac:ffff:ffff:ffff:ffff:ffff,US
2001:470:20ad::,2001:470:20ad:ffff:ffff:ffff:ffff:ffff,HU
2001:470:20ae::,2001:470:20b1:ffff:ffff:ffff:ffff:ffff,US
2001:470:20b2::,2001:470:20b2:ffff:ffff:ffff:ffff:ffff,HU
2001:470:20b3::,2001:470:20b6:ffff:ffff:ffff:ffff:ffff,US
2001:470:20b7::,2001:470:20b7:ffff:ffff:ffff:ffff:ffff,UA
2001:470:20b8::,2001:470:20e5:ffff:ffff:ffff:ffff:ffff,US
2001:470:20e6::,2001:470:20e6:ffff:ffff:ffff:ffff:ffff,HU
2001:470:20e7::,2001:470:218e:ffff:ffff:ffff:ffff:ffff,US
2001:470:218f::,2001:470:218f:ffff:ffff:ffff:ffff:ffff,UA
2001:470:2190::,2001:470:3057:ffff:ffff:ffff:ffff:ffff,US
2001:470:3058::,2001:470:3058:ffff:ffff:ffff:ffff:ffff,CA
2001:470:3059::,2001:470:3805:ffff:ffff:ffff:ffff:ffff,US
2001:470:3806::,2001:470:3806:ffff:ffff:ffff:ffff:ffff,MY
2001:470:3807::,2001:470:3811:ffff:ffff:ffff:ffff:ffff,US
2001:470:3812::,2001:470:3812:ffff:ffff:ffff:ffff:ffff,MY
2001:470:3813::,2001:470:381a:ffff:ffff:ffff:ffff:ffff,US
2001:470:381b::,2001:470:381b:ffff:ffff:ffff:ffff:ffff,IN
2001:470:381c::,2001:470:3822:ffff:ffff:ffff:ffff:ffff,US
2001:470:3823::,2001:470:3823:ffff:ffff:ffff:ffff:ffff,MY
2001:470:3824::,2001:470:3844:ffff:ffff:ffff:ffff:ffff,US
2001:470:3845::,2001:470:3845:ffff:ffff:ffff:ffff:ffff,BR
2001:470:3846::,2001:470:3848:ffff:ffff:ffff:ffff:ffff,US
2001:470:3849::,2001:470:3849:ffff:ffff:ffff:ffff:ffff,BR
2001:470:384a::,2001:470:384d:ffff:ffff:ffff:ffff:ffff,US
2001:470:384e::,2001:470:384e:ffff:ffff:ffff:ffff:ffff,IN
2001:470:384f::,2001:470:3863:ffff:ffff:ffff:ffff:ffff,US
2001:470:3864::,2001:470:3864:ffff:ffff:ffff:ffff:ffff,IN
2001:470:3865::,2001:470:3910:ffff:ffff:ffff:ffff:ffff,US
2001:470:3911::,2001:470:3911:ffff:ffff:ffff:ffff:ffff,MY
2001:470:3912::,2001:470:3957:ffff:ffff:ffff:ffff:ffff,US
2001:470:3958::,2001:470:3958:ffff:ffff:ffff:ffff:ffff,MY
2001:470:3959::,2001:470:3981:ffff:ffff:ffff:ffff:ffff,US
2001:470:3982::,2001:470:3982:ffff:ffff:ffff:ffff:ffff,PH
2001:470:3983::,2001:470:3983:ffff:ffff:ffff:ffff:ffff,IN
2001:470:3984::,2001:470:3984:ffff:ffff:ffff:ffff:ffff,US
2001:470:3985::,2001:470:3986:ffff:ffff:ffff:ffff:ffff,IN
2001:470:3987::,2001:470:3987:ffff:ffff:ffff:ffff:ffff,MY
2001:470:3988::,2001:470:3989:ffff:ffff:ffff:ffff:ffff,US
2001:470:398a::,2001:470:398b:ffff:ffff:ffff:ffff:ffff,IN
2001:470:398c::,2001:470:398c:ffff:ffff:ffff:ffff:ffff,MY
2001:470:398d::,2001:470:398d:ffff:ffff:ffff:ffff:ffff,PH
2001:470:398e::,2001:470:398e:ffff:ffff:ffff:ffff:ffff,IN
2001:470:398f::,2001:470:399f:ffff:ffff:ffff:ffff:ffff,US
2001:470:39a0::,2001:470:39a0:ffff:ffff:ffff:ffff:ffff,PH
2001:470:39a1::,2001:470:4815:ffff:ffff:ffff:ffff:ffff,US
2001:470:4816::,2001:470:4816:ffff:ffff:ffff:ffff:ffff,HK
2001:470:4817::,2001:470:4825:ffff:ffff:ffff:ffff:ffff,US
2001:470:4826::,2001:470:4826:ffff:ffff:ffff:ffff:ffff,SG
2001:470:4827::,2001:470:482f:ffff:ffff:ffff:ffff:ffff,US
2001:470:4830::,2001:470:4830:ffff:ffff:ffff:ffff:ffff,CA
2001:470:4831::,2001:470:483a:ffff:ffff:ffff:ffff:ffff,US
2001:470:483b::,2001:470:483b:ffff:ffff:ffff:ffff:ffff,SG
2001:470:483c::,2001:470:483c:ffff:ffff:ffff:ffff:ffff,HK
2001:470:483d::,2001:470:483d:ffff:ffff:ffff:ffff:ffff,SG
2001:470:483e::,2001:470:483e:ffff:ffff:ffff:ffff:ffff,HK
2001:470:483f::,2001:470:4844:ffff:ffff:ffff:ffff:ffff,US
2001:470:4845::,2001:470:4845:ffff:ffff:ffff:ffff:ffff,HU
2001:470:4846::,2001:470:484a:ffff:ffff:ffff:ffff:ffff,US
2001:470:484b::,2001:470:484b:ffff:ffff:ffff:ffff:ffff,SG
2001:470:484c::,2001:470:484e:ffff:ffff:ffff:ffff:ffff,US
2001:470:484f::,2001:470:484f:ffff:ffff:ffff:ffff:ffff,HK
2001:470:4850::,2001:470:4852:ffff:ffff:ffff:ffff:ffff,US
2001:470:4853::,2001:470:4853:ffff:ffff:ffff:ffff:ffff,HK
2001:470:4854::,2001:470:4854:ffff:ffff:ffff:ffff:ffff,HU
2001:470:4855::,2001:470:4855:ffff:ffff:ffff:ffff:ffff,US
2001:470:4856::,2001:470:4856:ffff:ffff:ffff:ffff:ffff,PT
2001:470:4857::,2001:470:4857:ffff:ffff:ffff:ffff:ffff,US
2001:470:4858::,2001:470:4858:ffff:ffff:ffff:ffff:ffff,PT
2001:470:4859::,2001:470:4866:ffff:ffff:ffff:ffff:ffff,US
2001:470:4867::,2001:470:4867:ffff:ffff:ffff:ffff:ffff,HK
2001:470:4868::,2001:470:4868:ffff:ffff:ffff:ffff:ffff,HU
2001:470:4869::,2001:470:4869:ffff:ffff:ffff:ffff:ffff,HK
2001:470:486a::,2001:470:486d:ffff:ffff:ffff:ffff:ffff,US
2001:470:486e::,2001:470:486e:ffff:ffff:ffff:ffff:ffff,SG
2001:470:486f::,2001:470:486f:ffff:ffff:ffff:ffff:ffff,US
2001:470:4870::,2001:470:4871:ffff:ffff:ffff:ffff:ffff,HK
2001:470:4872::,2001:470:4872:ffff:ffff:ffff:ffff:ffff,US
2001:470:4873::,2001:470:4873:ffff:ffff:ffff:ffff:ffff,HK
2001:470:4874::,2001:470:4877:ffff:ffff:ffff:ffff:ffff,US
2001:470:4878::,2001:470:4878:ffff:ffff:ffff:ffff:ffff,SG
2001:470:4879::,2001:470:4879:ffff:ffff:ffff:ffff:ffff,US
2001:470:487a::,2001:470:487a:ffff:ffff:ffff:ffff:ffff,ZA
2001:470:487b::,2001:470:487b:ffff:ffff:ffff:ffff:ffff,HU
2001:470:487c::,2001:470:487f:ffff:ffff:ffff:ffff:ffff,US
2001:470:4880::,2001:470:4880:ffff:ffff:ffff:ffff:ffff,ZA
2001:470:4881::,2001:470:4881:ffff:ffff:ffff:ffff:ffff,PT
2001:470:4882::,2001:470:490a:ffff:ffff:ffff:ffff:ffff,US
2001:470:490b::,2001:470:490b:ffff:ffff:ffff:ffff:ffff,SG
2001:470:490c::,2001:470:5084:ffff:ffff:ffff:ffff:ffff,US
2001:470:5085::,2001:470:5085:ffff:ffff:ffff:ffff:ffff,DE
2001:470:5086::,2001:470:5383:ffff:ffff:ffff:ffff:ffff,US
2001:470:5384::,2001:470:5384:ffff:ffff:ffff:ffff:ffff,DE
2001:470:5385::,2001:470:58bf:ffff:ffff:ffff:ffff:ffff,US
2001:470:58c0::,2001:470:58c0:ffff:ffff:ffff:ffff:ffff,UA
2001:470:58c1::,2001:470:5c2b:ffff:ffff:ffff:ffff:ffff,US
2001:470:5c2c::,2001:470:5c2c:ffff:ffff:ffff:ffff:ffff,UA
2001:470:5c2d::,2001:470:61d5:ffff:ffff:ffff:ffff:ffff,US
2001:470:61d6::,2001:470:61d6:ffff:ffff:ffff:ffff:ffff,CH
2001:470:61d7::,2001:470:6268:ffff:ffff:ffff:ffff:ffff,US
2001:470:6269::,2001:470:6269:ffff:ffff:ffff:ffff:ffff,PL
2001:470:626a::,2001:470:626c:ffff:ffff:ffff:ffff:ffff,US
2001:470:626d::,2001:470:626d:ffff:ffff:ffff:ffff:ffff,PL
2001:470:626e::,2001:470:626e:ffff:ffff:ffff:ffff:ffff,SE
2001:470:626f::,2001:470:68e8:ffff:ffff:ffff:ffff:ffff,US
2001:470:68e9::,2001:470:68e9:ffff:ffff:ffff:ffff:ffff,FR
2001:470:68ea::,2001:470:6935:ffff:ffff:ffff:ffff:ffff,US
2001:470:6936::,2001:470:6936:ffff:ffff:ffff:ffff:ffff,GB
2001:470:6937::,2001:470:693d:ffff:ffff:ffff:ffff:ffff,US
2001:470:693e::,2001:470:693e:ffff:ffff:ffff:ffff:ffff,PT
2001:470:693f::,2001:470:6942:ffff:ffff:ffff:ffff:ffff,US
2001:470:6943::,2001:470:6943:ffff:ffff:ffff:ffff:ffff,FR
2001:470:6944::,2001:470:6a8b:ffff:ffff:ffff:ffff:ffff,US
2001:470:6a8c::,2001:470:6a8c:ffff:ffff:ffff:ffff:ffff,GB
2001:470:6a8d::,2001:470:6b1e:ffff:ffff:ffff:ffff:ffff,US
2001:470:6b1f::,2001:470:6b1f:ffff:ffff:ffff:ffff:ffff,GB
2001:470:6b20::,2001:470:6bb0:ffff:ffff:ffff:ffff:ffff,US
2001:470:6bb1::,2001:470:6bb1:ffff:ffff:ffff:ffff:ffff,FR
2001:470:6bb2::,2001:470:6bb2:ffff:ffff:ffff:ffff:ffff,US
2001:470:6bb3::,2001:470:6bb4:ffff:ffff:ffff:ffff:ffff,GB
2001:470:6bb5::,2001:470:6bb5:ffff:ffff:ffff:ffff:ffff,US
2001:470:6bb6::,2001:470:6bb6:ffff:ffff:ffff:ffff:ffff,GB
2001:470:6bb7::,2001:470:6bb8:ffff:ffff:ffff:ffff:ffff,US
2001:470:6bb9::,2001:470:6bb9:ffff:ffff:ffff:ffff:ffff,PT
2001:470:6bba::,2001:470:6bba:ffff:ffff:ffff:ffff:ffff,US
2001:470:6bbb::,2001:470:6bbb:ffff:ffff:ffff:ffff:ffff,GB
2001:470:6bbc::,2001:470:70b0:ffff:ffff:ffff:ffff:ffff,US
2001:470:70b1::,2001:470:70b1:ffff:ffff:ffff:ffff:ffff,UA
2001:470:70b2::,2001:470:70f4:ffff:ffff:ffff:ffff:ffff,US
2001:470:70f5::,2001:470:70f5:ffff:ffff:ffff:ffff:ffff,DE
2001:470:70f6::,2001:470:7126:ffff:ffff:ffff:ffff:ffff,US
2001:470:7127::,2001:470:7127:ffff:ffff:ffff:ffff:ffff,UA
2001:470:7128::,2001:470:7174:ffff:ffff:ffff:ffff:ffff,US
2001:470:7175::,2001:470:7175:ffff:ffff:ffff:ffff:ffff,UA
2001:470:7176::,2001:470:7841:ffff:ffff:ffff:ffff:ffff,US
2001:470:7842::,2001:470:7842:ffff:ffff:ffff:ffff:ffff,CZ
2001:470:7843::,2001:470:7847:ffff:ffff:ffff:ffff:ffff,US
2001:470:7848::,2001:470:7848:ffff:ffff:ffff:ffff:ffff,NL
2001:470:7849::,2001:470:7851:ffff:ffff:ffff:ffff:ffff,US
2001:470:7852::,2001:470:7852:ffff:ffff:ffff:ffff:ffff,NL
2001:470:7853::,2001:470:7987:ffff:ffff:ffff:ffff:ffff,US
2001:470:7988::,2001:470:7988:ffff:ffff:ffff:ffff:ffff,CZ
2001:470:7989::,2001:470:7998:ffff:ffff:ffff:ffff:ffff,US
2001:470:7999::,2001:470:7999:ffff:ffff:ffff:ffff:ffff,CZ
2001:470:799a::,2001:470:b029:ffff:ffff:ffff:ffff:ffff,US
2001:470:b02a::,2001:470:b02a:ffff:ffff:ffff:ffff:ffff,CA
2001:470:b02b::,2001:470:b08b:ffff:ffff:ffff:ffff:ffff,US
2001:470:b08c::,2001:470:b08c:ffff:ffff:ffff:ffff:ffff,CA
2001:470:b08d::,2001:470:b13b:ffff:ffff:ffff:ffff:ffff,US
2001:470:b13c::,2001:470:b13d:ffff:ffff:ffff:ffff:ffff,CA
2001:470:b13e::,2001:470:b5bd:ffff:ffff:ffff:ffff:ffff,US
2001:470:b5be::,2001:470:b5be:ffff:ffff:ffff:ffff:ffff,CH
2001:470:b5bf::,2001:470:b5e6:ffff:ffff:ffff:ffff:ffff,US
2001:470:b5e7::,2001:470:b5e7:ffff:ffff:ffff:ffff:ffff,PL
2001:470:b5e8::,2001:470:b5e9:ffff:ffff:ffff:ffff:ffff,CH
2001:470:b5ea::,2001:470:b5ea:ffff:ffff:ffff:ffff:ffff,PL
2001:470:b5eb::,2001:470:c080:ffff:ffff:ffff:ffff:ffff,US
2001:470:c081::,2001:470:c081:ffff:ffff:ffff:ffff:ffff,SG
2001:470:c082::,2001:470:c097:ffff:ffff:ffff:ffff:ffff,US
2001:470:c098::,2001:470:c098:ffff:ffff:ffff:ffff:ffff,SG
2001:470:c099::,2001:470:c0a5:ffff:ffff:ffff:ffff:ffff,US
2001:470:c0a6::,2001:470:c0a6:ffff:ffff:ffff:ffff:ffff,SG
2001:470:c0a7::,2001:470:c0a9:ffff:ffff:ffff:ffff:ffff,US
2001:470:c0aa::,2001:470:c0aa:ffff:ffff:ffff:ffff:ffff,SG
2001:470:c0ab::,2001:470:c0ad:ffff:ffff:ffff:ffff:ffff,US
2001:470:c0ae::,2001:470:c0ae:ffff:ffff:ffff:ffff:ffff,SG
2001:470:c0af::,2001:470:c0d0:ffff:ffff:ffff:ffff:ffff,US
2001:470:c0d1::,2001:470:c0d1:ffff:ffff:ffff:ffff:ffff,SG
2001:470:c0d2::,2001:470:c0d2:ffff:ffff:ffff:ffff:ffff,US
2001:470:c0d3::,2001:470:c0d3:ffff:ffff:ffff:ffff:ffff,SG
2001:470:c0d4::,2001:470:c0d6:ffff:ffff:ffff:ffff:ffff,US
2001:470:c0d7::,2001:470:c0d7:ffff:ffff:ffff:ffff:ffff,SG
2001:470:c0d8::,2001:470:c0e1:ffff:ffff:ffff:ffff:ffff,US
2001:470:c0e2::,2001:470:c0e2:ffff:ffff:ffff:ffff:ffff,SG
2001:470:c0e3::,2001:470:c14f:ffff:ffff:ffff:ffff:ffff,US
2001:470:c150::,2001:470:c150:ffff:ffff:ffff:ffff:ffff,SG
2001:470:c151::,2001:470:c885:ffff:ffff:ffff:ffff:ffff,US
2001:470:c886::,2001:470:c886:ffff:ffff:ffff:ffff:ffff,FR
2001:470:c887::,2001:470:c88d:ffff:ffff:ffff:ffff:ffff,US
2001:470:c88e::,2001:470:c88e:ffff:ffff:ffff:ffff:ffff,FR
2001:470:c88f::,2001:470:c88f:ffff:ffff:ffff:ffff:ffff,US
2001:470:c890::,2001:470:c890:ffff:ffff:ffff:ffff:ffff,FR
2001:470:c891::,2001:470:c8df:ffff:ffff:ffff:ffff:ffff,US
2001:470:c8e0::,2001:470:c8e0:ffff:ffff:ffff:ffff:ffff,FR
2001:470:c8e1::,2001:470:c8fd:ffff:ffff:ffff:ffff:ffff,US
2001:470:c8fe::,2001:470:c8fe:ffff:ffff:ffff:ffff:ffff,FR
2001:470:c8ff::,2001:470:c9b7:ffff:ffff:ffff:ffff:ffff,US
2001:470:c9b8::,2001:470:c9b8:ffff:ffff:ffff:ffff:ffff,FR
2001:470:c9b9::,2001:470:ca51:ffff:ffff:ffff:ffff:ffff,US
2001:470:ca52::,2001:470:ca52:ffff:ffff:ffff:ffff:ffff,FR
2001:470:ca53::,2001:470:ca58:ffff:ffff:ffff:ffff:ffff,US
2001:470:ca59::,2001:470:ca59:ffff:ffff:ffff:ffff:ffff,FR
2001:470:ca5a::,2001:470:cb5c:ffff:ffff:ffff:ffff:ffff,US
2001:470:cb5d::,2001:470:cb5d:ffff:ffff:ffff:ffff:ffff,FR
2001:470:cb5e::,2001:470:d829:ffff:ffff:ffff:ffff:ffff,US
2001:470:d82a::,2001:470:d82a:ffff:ffff:ffff:ffff:ffff,VE
2001:470:d82b::,2001:470:d87d:ffff:ffff:ffff:ffff:ffff,US
2001:470:d87e::,2001:470:d87e:ffff:ffff:ffff:ffff:ffff,BR
2001:470:d87f::,2001:470:d8a8:ffff:ffff:ffff:ffff:ffff,US
2001:470:d8a9::,2001:470:d8a9:ffff:ffff:ffff:ffff:ffff,BR
2001:470:d8aa::,2001:470:d8c4:ffff:ffff:ffff:ffff:ffff,US
2001:470:d8c5::,2001:470:d8c5:ffff:ffff:ffff:ffff:ffff,BR
2001:470:d8c6::,2001:470:d8c6:ffff:ffff:ffff:ffff:ffff,US
2001:470:d8c7::,2001:470:d8c7:ffff:ffff:ffff:ffff:ffff,BR
2001:470:d8c8::,2001:470:d8c9:ffff:ffff:ffff:ffff:ffff,US
2001:470:d8ca::,2001:470:d8ca:ffff:ffff:ffff:ffff:ffff,BR
2001:470:d8cb::,2001:470:d8d5:ffff:ffff:ffff:ffff:ffff,US
2001:470:d8d6::,2001:470:d8d8:ffff:ffff:ffff:ffff:ffff,VE
2001:470:d8d9::,2001:470:d8da:ffff:ffff:ffff:ffff:ffff,US
2001:470:d8db::,2001:470:d8db:ffff:ffff:ffff:ffff:ffff,VE
2001:470:d8dc::,2001:470:d8dc:ffff:ffff:ffff:ffff:ffff,US
2001:470:d8dd::,2001:470:d8dd:ffff:ffff:ffff:ffff:ffff,VE
2001:470:d8de::,2001:470:d8e5:ffff:ffff:ffff:ffff:ffff,US
2001:470:d8e6::,2001:470:d8e6:ffff:ffff:ffff:ffff:ffff,VE
2001:470:d8e7::,2001:470:d8ef:ffff:ffff:ffff:ffff:ffff,US
2001:470:d8f0::,2001:470:d8f0:ffff:ffff:ffff:ffff:ffff,VE
2001:470:d8f1::,2001:470:d907:ffff:ffff:ffff:ffff:ffff,US
2001:470:d908::,2001:470:d908:ffff:ffff:ffff:ffff:ffff,VE
2001:470:d909::,2001:470:d912:ffff:ffff:ffff:ffff:ffff,US
2001:470:d913::,2001:470:d913:ffff:ffff:ffff:ffff:ffff,VE
2001:470:d914::,2001:470:d91b:ffff:ffff:ffff:ffff:ffff,US
2001:470:d91c::,2001:470:d91c:ffff:ffff:ffff:ffff:ffff,VE
2001:470:d91d::,2001:470:d932:ffff:ffff:ffff:ffff:ffff,US
2001:470:d933::,2001:470:d933:ffff:ffff:ffff:ffff:ffff,VE
2001:470:d934::,2001:470:d9d7:ffff:ffff:ffff:ffff:ffff,US
2001:470:d9d8::,2001:470:d9d8:ffff:ffff:ffff:ffff:ffff,BR
2001:470:d9d9::,2001:470:d9d9:ffff:ffff:ffff:ffff:ffff,US
2001:470:d9da::,2001:470:d9db:ffff:ffff:ffff:ffff:ffff,BR
2001:470:d9dc::,2001:470:d9df:ffff:ffff:ffff:ffff:ffff,US
2001:470:d9e0::,2001:470:d9e0:ffff:ffff:ffff:ffff:ffff,BR
2001:470:d9e1::,2001:470:d9e4:ffff:ffff:ffff:ffff:ffff,US
2001:470:d9e5::,2001:470:d9e5:ffff:ffff:ffff:ffff:ffff,BR
2001:470:d9e6::,2001:470:d9e6:ffff:ffff:ffff:ffff:ffff,US
2001:470:d9e7::,2001:470:d9ea:ffff:ffff:ffff:ffff:ffff,BR
